,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
7333,POINT (16.355568046705745 48.20345773050864),,Gebäude,,,,,Bauwerke,"Zum schwarzen Elefanten (7, Gutenberggasse 17)",https://www.geschichtewiki.wien.gv.at/?curid=12714,Gutenberggasse 17,Gebäude
7334,POINT (16.341543114574705 48.19727630898734),,Gebäude,,,,,Bauwerke,"Zum schwarzen Elefanten (7, Kaiserstraße 8)",https://www.geschichtewiki.wien.gv.at/?curid=12722,Kaiserstraße 8,Gebäude
7338,POINT (16.343103998627786 48.20691939517632),,Sakralbau,,,,1848.0,bauwerke,Altlerchenfelder Kirche,https://www.geschichtewiki.wien.gv.at/?curid=21403,Mentergasse 1,Katholische Kirche
7383,POINT (16.355095392974697 48.20334107735091),,Gebäude,,,,,Bauwerke,Zum schwarzen Ochsen,https://www.geschichtewiki.wien.gv.at/?curid=23772,Spittelberggasse 7,Gebäude
7385,POINT (16.35597664993394 48.20388304034521),,Gebäude,,,,,Bauwerke,Zum schwarzen Rössel (7),https://www.geschichtewiki.wien.gv.at/?curid=28280,Kirchberggasse 16/1,Gebäude
7394,POINT (16.355702061743578 48.202807137665324),,Gebäude,,,,1896.0,Bauwerke,Zum verlorenen Sohn,https://www.geschichtewiki.wien.gv.at/?curid=3382,Gutenberggasse 1-5,Gebäude
7446,POINT (16.355428148733775 48.20314011327343),,Gebäude,,,,1892.0,Bauwerke,"Zum weißen Engel (7, Spittelberggasse 12, Gutenberggasse 11)",https://www.geschichtewiki.wien.gv.at/?curid=14320,Spittelberggasse 12,Gebäude
7451,POINT (16.35591613511007 48.203249387982915),,Gebäude,,,,,bauwerke,"Zum weißen Kreuz (7, Kirchberggasse 11, Gutenberggasse 10)",https://www.geschichtewiki.wien.gv.at/?curid=19604,Kirchberggasse 11-13/1,Gebäude
7454,POINT (16.3556123847118 48.20330600725569),,Gebäude,,,,1723.0,Bauwerke,Zum weißen Löwen (7),https://www.geschichtewiki.wien.gv.at/?curid=19831,Gutenberggasse 13,Gebäude
7553,POINT (16.352556015514704 48.2049100406364),,Denkmal,,,,,Bauwerke,Gonzagastatue,https://www.geschichtewiki.wien.gv.at/?curid=25703,St.-Ulrichs-Platz 5,Sakrale_Freiplastik
